Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
108,5.98769e-67,0.152483,250,0,0,0,0,0,0
109,5.98769e-67,0.152483,250,0,0,0,0,0,0
110,5.98769e-67,0.152483,250,0,0,0,0,0,0
111,5.98769e-67,0.152483,250,0,0,0,0,0,0
112,5.98769e-67,0.152483,250,0,0,0,0,0,0
113,5.98769e-67,0.152483,250,0,0,0,0,0,0
114,5.98769e-67,0.152483,250,0,0,0,0,0,0
115,5.98769e-67,0.152483,250,0,0,0,0,0,0
116,5.98769e-67,0.152483,250,0,0,0,0,0,0
117,5.98769e-67,0.152483,250,0,0,0,0,0,0
118,5.98769e-67,0.152483,250,0,0,0,0,0,0
119,5.98769e-67,0.152483,250,0,0,0,0,0,0
120,5.98769e-67,0.152483,250,0,0,0,0,0,0
121,5.98769e-67,0.152483,250,0,0,0,0,0,0
122,5.98769e-67,0.152483,250,0,0,0,0,0,0
123,5.98769e-67,0.152483,250,0,0,0,0,0,0
124,5.98769e-67,0.152483,250,0,0,0,0,0,0
125,5.98769e-67,0.152483,250,0,0,0,0,0,0
126,5.98769e-67,0.152483,250,0,0,0,0,0,0
127,5.98769e-67,0.152483,250,0,0,0,0,0,0
128,5.98769e-67,0.152483,250,0,0,0,0,0,0
129,5.98769e-67,0.152483,250,0,0,0,0,0,0
130,5.98769e-67,0.152483,250,0,0,0,0,0,0
131,5.98769e-67,0.152483,250,0,0,0,0,0,0
132,5.98769e-67,0.152483,250,0,0,0,0,0,0
133,5.98769e-67,0.152483,250,0,0,0,0,0,0
134,5.98769e-67,0.152483,250,0,0,0,0,0,0
135,5.98769e-67,0.152483,250,0,0,0,0,0,0
136,5.98769e-67,0.152483,250,0,0,0,0,0,0
137,5.98769e-67,0.152483,250,0,0,0,0,0,0
138,5.98769e-67,0.152483,250,0,0,0,0,0,0
139,5.98769e-67,0.152483,250,0,0,0,0,0,0
140,5.98769e-67,0.152483,250,0,0,0,0,0,0
141,5.98769e-67,0.152483,250,0,0,0,0,0,0
142,5.98769e-67,0.152483,250,0,0,0,0,0,0
143,5.98769e-67,0.152483,250,0,0,0,0,0,0
144,5.98769e-67,0.152483,250,0,0,0,0,0,0
145,5.98769e-67,0.152483,250,0,0,0,0,0,0
146,5.98769e-67,0.152483,250,0,0,0,0,0,0
147,5.98769e-67,0.152483,250,0,0,0,0,0,0
148,5.98769e-67,0.152483,250,0,0,0,0,0,0
149,5.98769e-67,0.152483,250,0,0,0,0,0,0
150,5.98769e-67,0.152483,250,0,0,0,0,0,0
151,5.98769e-67,0.152483,250,0,0,0,0,0,0
152,5.98769e-67,0.152483,250,0,0,0,0,0,0
153,5.98769e-67,0.152483,250,0,0,0,0,0,0
154,5.98769e-67,0.152483,250,0,0,0,0,0,0
155,5.98769e-67,0.152483,250,0,0,0,0,0,0
156,5.98769e-67,0.152483,250,0,0,0,0,0,0
157,5.98769e-67,0.152483,250,0,0,0,0,0,0
158,5.98769e-67,0.152483,250,0,0,0,0,0,0
159,5.98769e-67,0.152483,250,0,0,0,0,0,0
160,5.98769e-67,0.152483,250,0,0,0,0,0,0
161,5.98769e-67,0.152483,250,0,0,0,0,0,0
162,5.98769e-67,0.152483,250,0,0,0,0,0,0
163,5.98769e-67,0.152483,250,0,0,0,0,0,0
164,5.98769e-67,0.152483,250,0,0,0,0,0,0
165,5.98769e-67,0.152483,250,0,0,0,0,0,0
166,5.98769e-67,0.152483,250,0,0,0,0,0,0
167,5.98769e-67,0.152483,250,0,0,0,0,0,0
168,5.98769e-67,0.152483,250,0,0,0,0,0,0
169,5.98769e-67,0.152483,250,0,0,0,0,0,0
170,5.98769e-67,0.152483,250,0,0,0,0,0,0
171,5.98769e-67,0.152483,250,0,0,0,0,0,0
172,5.98769e-67,0.152483,250,0,0,0,0,0,0
173,5.98769e-67,0.152483,250,0,0,0,0,0,0
174,5.98769e-67,0.152483,250,0,0,0,0,0,0
175,5.98769e-67,0.152483,250,0,0,0,0,0,0
176,5.98769e-67,0.152483,250,0,0,0,0,0,0
177,5.98769e-67,0.152483,250,0,0,0,0,0,0
178,5.98769e-67,0.152483,250,0,0,0,0,0,0
179,5.98769e-67,0.152483,250,0,0,0,0,0,0
180,5.98769e-67,0.152483,250,0,0,0,0,0,0
181,5.98769e-67,0.152483,250,0,0,0,0,0,0
182,5.98769e-67,0.152483,250,0,0,0,0,0,0
183,5.98769e-67,0.152483,250,0,0,0,0,0,0
184,5.98769e-67,0.152483,250,0,0,0,0,0,0
185,5.98769e-67,0.152483,250,0,0,0,0,0,0
186,5.98769e-67,0.152483,250,0,0,0,0,0,0
187,5.98769e-67,0.152483,250,0,0,0,0,0,0
188,5.98769e-67,0.152483,250,0,0,0,0,0,0
189,5.98769e-67,0.152483,250,0,0,0,0,0,0
190,5.98769e-67,0.152483,250,0,0,0,0,0,0
191,5.98769e-67,0.152483,250,0,0,0,0,0,0
192,5.98769e-67,0.152483,250,0,0,0,0,0,0
193,5.98769e-67,0.152483,250,0,0,0,0,0,0
194,5.98769e-67,0.152483,250,0,0,0,0,0,0
195,5.98769e-67,0.152483,250,0,0,0,0,0,0
196,5.98769e-67,0.152483,250,0,0,0,0,0,0
197,5.98769e-67,0.152483,250,0,0,0,0,0,0
198,5.98769e-67,0.152483,250,0,0,0,0,0,0
199,5.98769e-67,0.152483,250,0,0,0,0,0,0
200,5.98769e-67,0.152483,250,0,0,0,0,0,0
201,5.98769e-67,0.152483,250,0,0,0,0,0,0
202,5.98769e-67,0.152483,250,0,0,0,0,0,0
203,5.98769e-67,0.152483,250,0,0,0,0,0,0
204,5.98769e-67,0.152483,250,0,0,0,0,0,0
205,5.98769e-67,0.152483,250,0,0,0,0,0,0
206,5.98769e-67,0.152483,250,0,0,0,0,0,0
207,5.98769e-67,0.152483,250,0,0,0,0,0,0
208,5.98769e-67,0.152483,250,0,0,0,0,0,0
209,5.98769e-67,0.152483,250,0,0,0,0,0,0
210,5.98769e-67,0.152483,250,0,0,0,0,0,0
211,5.98769e-67,0.152483,250,0,0,0,0,0,0
212,5.98769e-67,0.152483,250,0,0,0,0,0,0
213,5.98769e-67,0.152483,250,0,0,0,0,0,0
214,5.98769e-67,0.152483,250,0,0,0,0,0,0
215,5.98769e-67,0.152483,250,0,0,0,0,0,0
216,5.98769e-67,0.152483,250,0,0,0,0,0,0
217,5.98769e-67,0.152483,250,0,0,0,0,0,0
218,5.98769e-67,0.152483,250,0,0,0,0,0,0
219,5.98769e-67,0.152483,250,0,0,0,0,0,0
220,5.98769e-67,0.152483,250,0,0,0,0,0,0
221,5.98769e-67,0.152483,250,0,0,0,0,0,0
222,5.98769e-67,0.152483,250,0,0,0,0,0,0
223,5.98769e-67,0.152483,250,0,0,0,0,0,0
224,5.98769e-67,0.152483,250,0,0,0,0,0,0
225,5.98769e-67,0.152483,250,0,0,0,0,0,0
226,5.98769e-67,0.152483,250,0,0,0,0,0,0
227,5.98769e-67,0.152483,250,0,0,0,0,0,0
228,5.98769e-67,0.152483,250,0,0,0,0,0,0
229,5.98769e-67,0.152483,250,0,0,0,0,0,0
230,5.98769e-67,0.152483,250,0,0,0,0,0,0
231,5.98769e-67,0.152483,250,0,0,0,0,0,0
232,5.98769e-67,0.152483,250,0,0,0,0,0,0
233,5.98769e-67,0.152483,250,0,0,0,0,0,0
234,5.98769e-67,0.152483,250,0,0,0,0,0,0
235,5.98769e-67,0.152483,250,0,0,0,0,0,0
236,5.98769e-67,0.152483,250,0,0,0,0,0,0
237,5.98769e-67,0.152483,250,0,0,0,0,0,0
238,5.98769e-67,0.152483,250,0,0,0,0,0,0
239,5.98769e-67,0.152483,250,0,0,0,0,0,0
240,5.98769e-67,0.152483,250,0,0,0,0,0,0
241,5.98769e-67,0.152483,250,0,0,0,0,0,0
242,5.98769e-67,0.152483,250,0,0,0,0,0,0
243,5.98769e-67,0.152483,250,0,0,0,0,0,0
244,5.98769e-67,0.152483,250,0,0,0,0,0,0
245,5.98769e-67,0.152483,250,0,0,0,0,0,0
246,5.98769e-67,0.152483,250,0,0,0,0,0,0
247,5.98769e-67,0.152483,250,0,0,0,0,0,0
248,5.98769e-67,0.152483,250,0,0,0,0,0,0
249,5.98769e-67,0.152483,250,0,0,0,0,0,0
250,5.98769e-67,0.152483,250,0,0,0,0,0,0
251,5.98769e-67,0.152483,250,0,0,0,0,0,0
252,5.98769e-67,0.152483,250,0,0,0,0,0,0
253,5.98769e-67,0.152483,250,0,0,0,0,0,0
254,5.98769e-67,0.152483,250,0,0,0,0,0,0
255,5.98769e-67,0.152483,250,0,0,0,0,0,0
256,5.98769e-67,0.152483,250,0,0,0,0,0,0
257,5.98769e-67,0.152483,250,0,0,0,0,0,0
258,5.98769e-67,0.152483,250,0,0,0,0,0,0
259,5.98769e-67,0.152483,250,0,0,0,0,0,0
260,5.98769e-67,0.152483,250,0,0,0,0,0,0
261,5.98769e-67,0.152483,250,0,0,0,0,0,0
262,5.98769e-67,0.152483,250,0,0,0,0,0,0
263,5.98769e-67,0.152483,250,0,0,0,0,0,0
264,5.98769e-67,0.152483,250,0,0,0,0,0,0
265,5.98769e-67,0.152483,250,0,0,0,0,0,0
266,5.98769e-67,0.152483,250,0,0,0,0,0,0
267,5.98769e-67,0.152483,250,0,0,0,0,0,0
268,5.98769e-67,0.152483,250,0,0,0,0,0,0
269,5.98769e-67,0.152483,250,0,0,0,0,0,0
270,5.98769e-67,0.152483,250,0,0,0,0,0,0
271,5.98769e-67,0.152483,250,0,0,0,0,0,0
272,5.98769e-67,0.152483,250,0,0,0,0,0,0
273,5.98769e-67,0.152483,250,0,0,0,0,0,0
274,5.98769e-67,0.152483,250,0,0,0,0,0,0
275,5.98769e-67,0.152483,250,0,0,0,0,0,0
276,5.98769e-67,0.152483,250,0,0,0,0,0,0
277,5.98769e-67,0.152483,250,0,0,0,0,0,0
278,5.98769e-67,0.152483,250,0,0,0,0,0,0
279,5.98769e-67,0.152483,250,0,0,0,0,0,0
280,5.98769e-67,0.152483,250,0,0,0,0,0,0
281,5.98769e-67,0.152483,250,0,0,0,0,0,0
282,5.98769e-67,0.152483,250,0,0,0,0,0,0
283,5.98769e-67,0.152483,250,0,0,0,0,0,0
284,5.98769e-67,0.152483,250,0,0,0,0,0,0
285,5.98769e-67,0.152483,250,0,0,0,0,0,0
286,5.98769e-67,0.152483,250,0,0,0,0,0,0
287,5.98769e-67,0.152483,250,0,0,0,0,0,0
288,5.98769e-67,0.152483,250,0,0,0,0,0,0
289,5.98769e-67,0.152483,250,0,0,0,0,0,0
290,5.98769e-67,0.152483,250,0,0,0,0,0,0
291,5.98769e-67,0.152483,250,0,0,0,0,0,0
292,5.98769e-67,0.152483,250,0,0,0,0,0,0
293,5.98769e-67,0.152483,250,0,0,0,0,0,0
294,5.98769e-67,0.152483,250,0,0,0,0,0,0
295,5.98769e-67,0.152483,250,0,0,0,0,0,0
296,5.98769e-67,0.152483,250,0,0,0,0,0,0
297,5.98769e-67,0.152483,250,0,0,0,0,0,0
298,5.98769e-67,0.152483,250,0,0,0,0,0,0
299,5.98769e-67,0.152483,250,0,0,0,0,0,0
300,5.98769e-67,0.152483,250,0,0,0,0,0,0
301,5.98769e-67,0.152483,250,0,0,0,0,0,0
302,5.98769e-67,0.152483,250,0,0,0,0,0,0
303,5.98769e-67,0.152483,250,0,0,0,0,0,0
304,5.98769e-67,0.152483,250,0,0,0,0,0,0
305,5.98769e-67,0.152483,250,0,0,0,0,0,0
306,5.98769e-67,0.152483,250,0,0,0,0,0,0
307,5.98769e-67,0.152483,250,0,0,0,0,0,0
308,5.98769e-67,0.152483,250,0,0,0,0,0,0
309,5.98769e-67,0.152483,250,0,0,0,0,0,0
310,5.98769e-67,0.152483,250,0,0,0,0,0,0
311,5.98769e-67,0.152483,250,0,0,0,0,0,0
312,5.98769e-67,0.152483,250,0,0,0,0,0,0
313,5.98769e-67,0.152483,250,0,0,0,0,0,0
314,5.98769e-67,0.152483,250,0,0,0,0,0,0
315,5.98769e-67,0.152483,250,0,0,0,0,0,0
316,5.98769e-67,0.152483,250,0,0,0,0,0,0
317,5.98769e-67,0.152483,250,0,0,0,0,0,0
318,5.98769e-67,0.152483,250,0,0,0,0,0,0
319,5.98769e-67,0.152483,250,0,0,0,0,0,0
320,5.98769e-67,0.152483,250,0,0,0,0,0,0
321,5.98769e-67,0.152483,250,0,0,0,0,0,0
322,5.98769e-67,0.152483,250,0,0,0,0,0,0
323,5.98769e-67,0.152483,250,0,0,0,0,0,0
324,5.98769e-67,0.152483,250,0,0,0,0,0,0
