world_size_width,world_size_height,dna_size,mutation_rate,nb_generations,runtime
128,128,128,1e-06,1000,2.452097
128,128,128,1e-06,1000,2.39806
128,128,128,1e-06,1000,2.410976
256,256,128,1e-06,1000,9.658088
256,256,128,1e-06,1000,10.530976
256,256,128,1e-06,1000,10.354284
512,512,128,1e-06,1000,45.809107
512,512,128,1e-06,1000,48.791651
512,512,128,1e-06,1000,48.91453
1024,1024,128,1e-06,1000,202.980272
1024,1024,128,1e-06,1000,201.86002
1024,1024,128,1e-06,1000,203.129085
128,128,128,1e-05,1000,2.629841
128,128,128,1e-05,1000,2.648285
128,128,128,1e-05,1000,2.64736
256,256,128,1e-05,1000,10.892784
256,256,128,1e-05,1000,11.096274
256,256,128,1e-05,1000,11.119541
512,512,128,1e-05,1000,55.187858
512,512,128,1e-05,1000,55.288928
512,512,128,1e-05,1000,47.668918
1024,1024,128,1e-05,1000,235.39297
1024,1024,128,1e-05,1000,236.349872
1024,1024,128,1e-05,1000,240.564094
128,128,128,0.0001,1000,3.176313
128,128,128,0.0001,1000,3.304017
128,128,128,0.0001,1000,3.280612
256,256,128,0.0001,1000,15.990498
256,256,128,0.0001,1000,15.89082
256,256,128,0.0001,1000,15.589963
512,512,128,0.0001,1000,73.127152
512,512,128,0.0001,1000,88.084972
512,512,128,0.0001,1000,86.863232
1024,1024,128,0.0001,1000,401.657715
1024,1024,128,0.0001,1000,406.836553
1024,1024,128,0.0001,1000,406.252058
128,128,256,1e-06,1000,2.554319
128,128,256,1e-06,1000,2.570589
128,128,256,1e-06,1000,2.567627
256,256,256,1e-06,1000,10.623734
256,256,256,1e-06,1000,10.112846
256,256,256,1e-06,1000,10.729506
512,512,256,1e-06,1000,50.785756
512,512,256,1e-06,1000,47.45067
512,512,256,1e-06,1000,46.793424
1024,1024,256,1e-06,1000,210.164478
1024,1024,256,1e-06,1000,213.546979
1024,1024,256,1e-06,1000,210.915221
128,128,256,1e-05,1000,2.769265
128,128,256,1e-05,1000,2.684175
128,128,256,1e-05,1000,2.707528
256,256,256,1e-05,1000,11.372264
256,256,256,1e-05,1000,11.754325
256,256,256,1e-05,1000,12.147095
512,512,256,1e-05,1000,51.449259
512,512,256,1e-05,1000,62.995395
512,512,256,1e-05,1000,64.296737
1024,1024,256,1e-05,1000,267.043719
1024,1024,256,1e-05,1000,267.017129
1024,1024,256,1e-05,1000,267.931291
128,128,256,0.0001,1000,4.093924
128,128,256,0.0001,1000,4.12911
128,128,256,0.0001,1000,4.167498
256,256,256,0.0001,1000,21.179688
256,256,256,0.0001,1000,19.399968
256,256,256,0.0001,1000,22.416603
512,512,256,0.0001,1000,121.210061
512,512,256,0.0001,1000,121.589973
512,512,256,0.0001,1000,121.806605
1024,1024,256,0.0001,1000,535.611247
1024,1024,256,0.0001,1000,578.404959
1024,1024,256,0.0001,1000,575.825793
128,128,512,1e-06,1000,2.842357
128,128,512,1e-06,1000,2.899311
128,128,512,1e-06,1000,2.836567
256,256,512,1e-06,1000,11.739946
256,256,512,1e-06,1000,10.917757
256,256,512,1e-06,1000,11.346311
512,512,512,1e-06,1000,56.37401
512,512,512,1e-06,1000,55.453704
512,512,512,1e-06,1000,55.135219
1024,1024,512,1e-06,1000,226.623074
1024,1024,512,1e-06,1000,240.494173
1024,1024,512,1e-06,1000,234.703386
128,128,512,1e-05,1000,3.410356
128,128,512,1e-05,1000,3.485058
128,128,512,1e-05,1000,3.43688
256,256,512,1e-05,1000,15.163729
256,256,512,1e-05,1000,15.997386
256,256,512,1e-05,1000,14.486466
512,512,512,1e-05,1000,78.512797
512,512,512,1e-05,1000,78.647132
512,512,512,1e-05,1000,68.562416
1024,1024,512,1e-05,1000,362.818482
1024,1024,512,1e-05,1000,371.303165
1024,1024,512,1e-05,1000,372.636064
128,128,512,0.0001,1000,12.726177
128,128,512,0.0001,1000,10.447448
128,128,512,0.0001,1000,14.695904
256,256,512,0.0001,1000,30.722501
256,256,512,0.0001,1000,39.744411
256,256,512,0.0001,1000,30.980487
512,512,512,0.0001,1000,166.702099
512,512,512,0.0001,1000,183.731006
512,512,512,0.0001,1000,166.367655
