world_size_width,world_size_height,dna_size,mutation_rate,nb_generations,runtime
128,128,128,1e-06,1000,2.20698
128,128,128,1e-06,1000,2.209599
128,128,128,1e-06,1000,2.193235
256,256,128,1e-06,1000,9.518351
256,256,128,1e-06,1000,9.417889
256,256,128,1e-06,1000,9.365326
512,512,128,1e-06,1000,44.282551
512,512,128,1e-06,1000,44.165939
512,512,128,1e-06,1000,43.77697
1024,1024,128,1e-06,1000,178.362685
1024,1024,128,1e-06,1000,177.601247
1024,1024,128,1e-06,1000,178.019935
128,128,128,1e-05,1000,2.420185
128,128,128,1e-05,1000,2.445472
128,128,128,1e-05,1000,2.450043
256,256,128,1e-05,1000,10.118153
256,256,128,1e-05,1000,9.931171
256,256,128,1e-05,1000,9.965134
512,512,128,1e-05,1000,48.103036
512,512,128,1e-05,1000,47.844612
512,512,128,1e-05,1000,47.493619
1024,1024,128,1e-05,1000,208.738051
1024,1024,128,1e-05,1000,209.989635
1024,1024,128,1e-05,1000,210.768716
128,128,128,0.0001,1000,3.148526
128,128,128,0.0001,1000,3.136753
128,128,128,0.0001,1000,3.197118
256,256,128,0.0001,1000,15.060015
256,256,128,0.0001,1000,15.260955
256,256,128,0.0001,1000,15.415668
512,512,128,0.0001,1000,76.558568
512,512,128,0.0001,1000,76.196074
512,512,128,0.0001,1000,76.002404
1024,1024,128,0.0001,1000,371.324017
1024,1024,128,0.0001,1000,369.299242
1024,1024,128,0.0001,1000,370.271171
128,128,128,0.001,1000,12.155808
128,128,128,0.001,1000,12.020839
128,128,128,0.001,1000,12.254645
256,256,128,0.001,1000,57.24714
256,256,128,0.001,1000,57.20442
256,256,128,0.001,1000,56.46079
512,512,128,0.001,1000,270.795343
512,512,128,0.001,1000,269.669246
512,512,128,0.001,1000,270.49326
1024,1024,128,0.001,1000,1259.425062
1024,1024,128,0.001,1000,1278.731506
1024,1024,128,0.001,1000,1276.968564
128,128,256,1e-06,1000,2.337554
128,128,256,1e-06,1000,2.364444
128,128,256,1e-06,1000,2.309544
256,256,256,1e-06,1000,9.822635
256,256,256,1e-06,1000,9.767161
256,256,256,1e-06,1000,9.892002
512,512,256,1e-06,1000,45.423307
512,512,256,1e-06,1000,45.726593
512,512,256,1e-06,1000,45.998751
1024,1024,256,1e-06,1000,185.966826
1024,1024,256,1e-06,1000,186.705496
1024,1024,256,1e-06,1000,185.070926
128,128,256,1e-05,1000,2.597461
128,128,256,1e-05,1000,2.70038
128,128,256,1e-05,1000,2.642361
256,256,256,1e-05,1000,11.36602
256,256,256,1e-05,1000,11.382094
256,256,256,1e-05,1000,11.620863
512,512,256,1e-05,1000,57.239728
512,512,256,1e-05,1000,57.57636
512,512,256,1e-05,1000,57.053398
1024,1024,256,1e-05,1000,240.951297
1024,1024,256,1e-05,1000,241.629252
1024,1024,256,1e-05,1000,241.706782
128,128,256,0.0001,1000,4.211979
128,128,256,0.0001,1000,4.269336
128,128,256,0.0001,1000,4.307559
256,256,256,0.0001,1000,23.667985
256,256,256,0.0001,1000,24.119368
256,256,256,0.0001,1000,24.030929
512,512,256,0.0001,1000,120.325175
512,512,256,0.0001,1000,120.234435
512,512,256,0.0001,1000,120.249136
1024,1024,256,0.0001,1000,554.37672
1024,1024,256,0.0001,1000,552.350857
1024,1024,256,0.0001,1000,555.505084
128,128,256,0.001,1000,24.194338
128,128,256,0.001,1000,24.782504
128,128,256,0.001,1000,24.339122
256,256,256,0.001,1000,156.161981
256,256,256,0.001,1000,156.391075
256,256,256,0.001,1000,157.333888
512,512,256,0.001,1000,608.000562
512,512,256,0.001,1000,604.254363
512,512,256,0.001,1000,605.674648
1024,1024,256,0.001,1000,2806.423136
1024,1024,256,0.001,1000,2820.47043
1024,1024,256,0.001,1000,2823.315347
128,128,512,1e-06,1000,2.590666
128,128,512,1e-06,1000,2.521752
128,128,512,1e-06,1000,2.518737
256,256,512,1e-06,1000,10.573437
256,256,512,1e-06,1000,10.681277
256,256,512,1e-06,1000,10.612061
512,512,512,1e-06,1000,50.058622
512,512,512,1e-06,1000,50.279643
512,512,512,1e-06,1000,50.100552
1024,1024,512,1e-06,1000,207.236057
1024,1024,512,1e-06,1000,204.970473
1024,1024,512,1e-06,1000,205.088389
128,128,512,1e-05,1000,2.935238
128,128,512,1e-05,1000,3.046837
128,128,512,1e-05,1000,3.013274
256,256,512,1e-05,1000,13.906636
256,256,512,1e-05,1000,13.876825
256,256,512,1e-05,1000,13.962831
512,512,512,1e-05,1000,72.525604
512,512,512,1e-05,1000,72.082312
512,512,512,1e-05,1000,72.043653
1024,1024,512,1e-05,1000,310.623883
1024,1024,512,1e-05,1000,309.736083
1024,1024,512,1e-05,1000,309.742085
128,128,512,0.0001,1000,6.663562
128,128,512,0.0001,1000,6.663053
128,128,512,0.0001,1000,6.792473
256,256,512,0.0001,1000,40.134812
256,256,512,0.0001,1000,39.506154
256,256,512,0.0001,1000,39.283679
512,512,512,0.0001,1000,205.10256
512,512,512,0.0001,1000,205.893408
512,512,512,0.0001,1000,205.92101
1024,1024,512,0.0001,1000,865.314946
1024,1024,512,0.0001,1000,869.360493
1024,1024,512,0.0001,1000,864.991541
128,128,512,0.001,1000,72.99818
128,128,512,0.001,1000,73.692546
128,128,512,0.001,1000,73.948798
256,256,512,0.001,1000,347.95157
256,256,512,0.001,1000,346.583973
256,256,512,0.001,1000,348.010825
512,512,512,0.001,1000,1364.785313
512,512,512,0.001,1000,1362.069709
512,512,512,0.001,1000,1370.369277
1024,1024,512,0.001,1000,6193.89621
1024,1024,512,0.001,1000,6329.499528
1024,1024,512,0.001,1000,6143.515215
128,128,1024,1e-06,1000,2.840718
128,128,1024,1e-06,1000,2.873514
128,128,1024,1e-06,1000,2.855246
256,256,1024,1e-06,1000,12.343313
256,256,1024,1e-06,1000,12.382248
256,256,1024,1e-06,1000,12.324047
512,512,1024,1e-06,1000,57.622257
512,512,1024,1e-06,1000,57.872504
512,512,1024,1e-06,1000,57.697616
1024,1024,1024,1e-06,1000,242.251771
1024,1024,1024,1e-06,1000,242.301667
1024,1024,1024,1e-06,1000,242.374053
128,128,1024,1e-05,1000,3.743208
128,128,1024,1e-05,1000,3.731482
128,128,1024,1e-05,1000,3.67477
256,256,1024,1e-05,1000,21.213511
256,256,1024,1e-05,1000,21.415905
256,256,1024,1e-05,1000,21.390803
512,512,1024,1e-05,1000,105.019715
512,512,1024,1e-05,1000,104.589104
512,512,1024,1e-05,1000,103.61444
1024,1024,1024,1e-05,1000,459.348956
1024,1024,1024,1e-05,1000,458.290663
1024,1024,1024,1e-05,1000,459.435828
128,128,1024,0.0001,1000,12.228695
128,128,1024,0.0001,1000,12.390745
128,128,1024,0.0001,1000,12.649624
256,256,1024,0.0001,1000,82.800243
256,256,1024,0.0001,1000,82.39774
256,256,1024,0.0001,1000,82.752448
512,512,1024,0.0001,1000,372.152012
512,512,1024,0.0001,1000,369.521631
512,512,1024,0.0001,1000,372.296467
1024,1024,1024,0.0001,1000,1662.905917
1024,1024,1024,0.0001,1000,1670.447448
1024,1024,1024,0.0001,1000,1669.304366
128,128,1024,0.001,1000,138.31537
128,128,1024,0.001,1000,139.54327
128,128,1024,0.001,1000,138.208842
256,256,1024,0.001,1000,717.935641
256,256,1024,0.001,1000,720.835998
256,256,1024,0.001,1000,720.668906
512,512,1024,0.001,1000,2804.589065
512,512,1024,0.001,1000,2800.397973
512,512,1024,0.001,1000,2793.642757
