world_size_width,world_size_height,dna_size,mutation_rate,nb_generations,runtime
128,128,128,1e-06,1000,2.417435
128,128,128,1e-06,1000,2.419184
128,128,128,1e-06,1000,2.416051
256,256,128,1e-06,1000,10.014601
256,256,128,1e-06,1000,9.928079
256,256,128,1e-06,1000,10.040173
512,512,128,1e-06,1000,47.947592
512,512,128,1e-06,1000,47.606368
512,512,128,1e-06,1000,47.489902
1024,1024,128,1e-06,1000,196.607379
1024,1024,128,1e-06,1000,193.075507
1024,1024,128,1e-06,1000,193.271786
128,128,128,1e-05,1000,2.506686
128,128,128,1e-05,1000,2.537099
128,128,128,1e-05,1000,2.518219
256,256,128,1e-05,1000,10.344578
256,256,128,1e-05,1000,10.147831
256,256,128,1e-05,1000,10.198089
512,512,128,1e-05,1000,51.744539
512,512,128,1e-05,1000,51.759147
512,512,128,1e-05,1000,51.165781
1024,1024,128,1e-05,1000,212.082294
1024,1024,128,1e-05,1000,211.29067
1024,1024,128,1e-05,1000,212.707046
128,128,128,0.0001,1000,3.199072
128,128,128,0.0001,1000,3.223594
128,128,128,0.0001,1000,3.168533
256,256,128,0.0001,1000,13.48452
256,256,128,0.0001,1000,13.316627
256,256,128,0.0001,1000,13.332313
512,512,128,0.0001,1000,79.924903
512,512,128,0.0001,1000,80.091722
512,512,128,0.0001,1000,79.572609
1024,1024,128,0.0001,1000,343.785101
1024,1024,128,0.0001,1000,344.907262
1024,1024,128,0.0001,1000,347.035141
128,128,256,1e-06,1000,2.462488
128,128,256,1e-06,1000,2.457126
128,128,256,1e-06,1000,2.472531
256,256,256,1e-06,1000,10.534663
256,256,256,1e-06,1000,10.798532
256,256,256,1e-06,1000,10.685194
512,512,256,1e-06,1000,47.334717
512,512,256,1e-06,1000,47.737793
512,512,256,1e-06,1000,47.192943
1024,1024,256,1e-06,1000,200.347058
1024,1024,256,1e-06,1000,202.323329
1024,1024,256,1e-06,1000,201.705672
128,128,256,1e-05,1000,2.709011
128,128,256,1e-05,1000,2.682185
128,128,256,1e-05,1000,2.650799
256,256,256,1e-05,1000,12.059785
256,256,256,1e-05,1000,11.95245
256,256,256,1e-05,1000,11.968977
512,512,256,1e-05,1000,52.819193
512,512,256,1e-05,1000,53.241143
512,512,256,1e-05,1000,53.044047
1024,1024,256,1e-05,1000,237.97091
1024,1024,256,1e-05,1000,237.65614
1024,1024,256,1e-05,1000,236.943505
128,128,256,0.0001,1000,4.255778
128,128,256,0.0001,1000,4.358493
128,128,256,0.0001,1000,4.271654
256,256,256,0.0001,1000,26.538024
256,256,256,0.0001,1000,26.408345
256,256,256,0.0001,1000,26.416041
512,512,256,0.0001,1000,96.757853
512,512,256,0.0001,1000,96.90492
512,512,256,0.0001,1000,96.987031
1024,1024,256,0.0001,1000,472.54639
1024,1024,256,0.0001,1000,475.452184
1024,1024,256,0.0001,1000,475.607335
128,128,512,1e-06,1000,2.68539
128,128,512,1e-06,1000,2.702987
128,128,512,1e-06,1000,2.731406
256,256,512,1e-06,1000,12.109724
256,256,512,1e-06,1000,12.035034
256,256,512,1e-06,1000,12.082464
512,512,512,1e-06,1000,55.780627
512,512,512,1e-06,1000,55.351673
512,512,512,1e-06,1000,55.95631
1024,1024,512,1e-06,1000,217.795431
1024,1024,512,1e-06,1000,219.898547
1024,1024,512,1e-06,1000,217.704158
128,128,512,1e-05,1000,3.208273
128,128,512,1e-05,1000,3.234582
128,128,512,1e-05,1000,3.231724
256,256,512,1e-05,1000,17.005327
256,256,512,1e-05,1000,16.817533
256,256,512,1e-05,1000,16.847495
512,512,512,1e-05,1000,81.007765
512,512,512,1e-05,1000,80.676558
512,512,512,1e-05,1000,80.886732
1024,1024,512,1e-05,1000,292.198297
1024,1024,512,1e-05,1000,293.503023
1024,1024,512,1e-05,1000,292.797474
128,128,512,0.0001,1000,7.758831
128,128,512,0.0001,1000,7.823656
128,128,512,0.0001,1000,7.809974
256,256,512,0.0001,1000,63.220502
256,256,512,0.0001,1000,63.228964
256,256,512,0.0001,1000,62.68532
512,512,512,0.0001,1000,274.857856
512,512,512,0.0001,1000,274.67931
512,512,512,0.0001,1000,274.303787
1024,1024,512,0.0001,1000,776.556346
1024,1024,512,0.0001,1000,774.661718
1024,1024,512,0.0001,1000,774.005836
128,128,1024,1e-06,1000,3.469733
128,128,1024,1e-06,1000,3.4371
128,128,1024,1e-06,1000,3.459025
256,256,1024,1e-06,1000,16.436358
256,256,1024,1e-06,1000,16.556297
256,256,1024,1e-06,1000,16.591128
512,512,1024,1e-06,1000,74.658415
