world_size_width,world_size_height,dna_size,mutation_rate,nb_generations,runtime
128,128,128,1e-06,1000,0.705746
128,128,128,1e-06,1000,1.049143
128,128,128,1e-06,1000,0.723029
256,256,128,1e-06,1000,2.184194
256,256,128,1e-06,1000,2.158989
256,256,128,1e-06,1000,2.350639
512,512,128,1e-06,1000,11.53808
512,512,128,1e-06,1000,11.597151
512,512,128,1e-06,1000,11.357551
1024,1024,128,1e-06,1000,66.471745
1024,1024,128,1e-06,1000,66.695161
1024,1024,128,1e-06,1000,67.088333
128,128,128,1e-05,1000,0.704158
128,128,128,1e-05,1000,0.739516
128,128,128,1e-05,1000,0.713181
256,256,128,1e-05,1000,2.380165
256,256,128,1e-05,1000,2.436191
256,256,128,1e-05,1000,2.350503
512,512,128,1e-05,1000,13.993986
512,512,128,1e-05,1000,14.016933
512,512,128,1e-05,1000,13.965776
1024,1024,128,1e-05,1000,76.792804
1024,1024,128,1e-05,1000,76.629074
1024,1024,128,1e-05,1000,76.307722
128,128,128,0.0001,1000,0.903422
128,128,128,0.0001,1000,0.886179
128,128,128,0.0001,1000,0.993948
256,256,128,0.0001,1000,3.422066
256,256,128,0.0001,1000,3.352244
256,256,128,0.0001,1000,3.313918
512,512,128,0.0001,1000,23.622833
512,512,128,0.0001,1000,23.854291
512,512,128,0.0001,1000,21.440952
1024,1024,128,0.0001,1000,119.107576
1024,1024,128,0.0001,1000,118.081771
1024,1024,128,0.0001,1000,117.365119
128,128,256,1e-06,1000,1.113
128,128,256,1e-06,1000,0.744912
128,128,256,1e-06,1000,0.698596
256,256,256,1e-06,1000,2.30497
256,256,256,1e-06,1000,2.371477
256,256,256,1e-06,1000,2.342077
512,512,256,1e-06,1000,11.961413
512,512,256,1e-06,1000,12.013203
512,512,256,1e-06,1000,12.19513
1024,1024,256,1e-06,1000,70.761158
1024,1024,256,1e-06,1000,72.278198
1024,1024,256,1e-06,1000,71.724001
128,128,256,1e-05,1000,1.156275
128,128,256,1e-05,1000,0.777804
128,128,256,1e-05,1000,0.758189
256,256,256,1e-05,1000,3.582583
256,256,256,1e-05,1000,2.540141
256,256,256,1e-05,1000,2.662766
512,512,256,1e-05,1000,16.474068
512,512,256,1e-05,1000,17.127437
512,512,256,1e-05,1000,18.447367
1024,1024,256,1e-05,1000,88.2547
1024,1024,256,1e-05,1000,92.716459
1024,1024,256,1e-05,1000,88.369518
128,128,256,0.0001,1000,1.199903
128,128,256,0.0001,1000,1.12575
128,128,256,0.0001,1000,1.21937
256,256,256,0.0001,1000,4.907819
256,256,256,0.0001,1000,5.100866
256,256,256,0.0001,1000,4.854966
512,512,256,0.0001,1000,25.637244
512,512,256,0.0001,1000,30.98111
512,512,256,0.0001,1000,31.361096
1024,1024,256,0.0001,1000,150.142915
1024,1024,256,0.0001,1000,149.625159
1024,1024,256,0.0001,1000,152.178563
128,128,512,1e-06,1000,0.770575
128,128,512,1e-06,1000,1.093369
128,128,512,1e-06,1000,0.755547
256,256,512,1e-06,1000,2.668982
256,256,512,1e-06,1000,2.67482
256,256,512,1e-06,1000,2.628169
512,512,512,1e-06,1000,13.302077
512,512,512,1e-06,1000,13.421597
512,512,512,1e-06,1000,13.603478
1024,1024,512,1e-06,1000,75.315654
1024,1024,512,1e-06,1000,75.479252
1024,1024,512,1e-06,1000,74.865786
128,128,512,1e-05,1000,1.021912
128,128,512,1e-05,1000,1.45204
128,128,512,1e-05,1000,0.848258
256,256,512,1e-05,1000,4.225246
256,256,512,1e-05,1000,3.03577
256,256,512,1e-05,1000,3.440912
512,512,512,1e-05,1000,20.502196
