world_size_width,world_size_height,dna_size,mutation_rate,nb_generations,runtime
128,128,128,1e-06,1000,2.281047
128,128,128,1e-06,1000,2.249929
128,128,128,1e-06,1000,2.238927
256,256,128,1e-06,1000,9.1616
256,256,128,1e-06,1000,9.421921
256,256,128,1e-06,1000,9.400962
512,512,128,1e-06,1000,45.434612
512,512,128,1e-06,1000,46.097522
512,512,128,1e-06,1000,45.321093
1024,1024,128,1e-06,1000,186.171441
1024,1024,128,1e-06,1000,187.048097
1024,1024,128,1e-06,1000,185.744396
128,128,128,1e-05,1000,2.392603
128,128,128,1e-05,1000,2.412401
128,128,128,1e-05,1000,2.367222
256,256,128,1e-05,1000,9.662497
256,256,128,1e-05,1000,9.804479
256,256,128,1e-05,1000,9.771978
512,512,128,1e-05,1000,50.231578
512,512,128,1e-05,1000,49.374129
512,512,128,1e-05,1000,49.011429
1024,1024,128,1e-05,1000,204.272918
1024,1024,128,1e-05,1000,203.371391
1024,1024,128,1e-05,1000,204.487095
128,128,128,0.0001,1000,3.02137
128,128,128,0.0001,1000,2.984705
128,128,128,0.0001,1000,3.015548
256,256,128,0.0001,1000,12.910604
256,256,128,0.0001,1000,12.941268
256,256,128,0.0001,1000,12.864641
512,512,128,0.0001,1000,77.912563
512,512,128,0.0001,1000,78.193728
512,512,128,0.0001,1000,77.412473
1024,1024,128,0.0001,1000,336.585646
1024,1024,128,0.0001,1000,336.714201
1024,1024,128,0.0001,1000,337.73186
128,128,256,1e-06,1000,2.349319
128,128,256,1e-06,1000,2.361563
128,128,256,1e-06,1000,2.390913
256,256,256,1e-06,1000,10.355681
256,256,256,1e-06,1000,10.0645
256,256,256,1e-06,1000,10.317751
512,512,256,1e-06,1000,46.046961
512,512,256,1e-06,1000,45.713118
512,512,256,1e-06,1000,45.377006
1024,1024,256,1e-06,1000,191.896431
1024,1024,256,1e-06,1000,195.435662
1024,1024,256,1e-06,1000,194.193856
128,128,256,1e-05,1000,2.586882
128,128,256,1e-05,1000,2.556748
128,128,256,1e-05,1000,2.610066
256,256,256,1e-05,1000,11.735669
256,256,256,1e-05,1000,11.585671
256,256,256,1e-05,1000,11.579791
512,512,256,1e-05,1000,51.036207
512,512,256,1e-05,1000,51.028474
512,512,256,1e-05,1000,51.21966
1024,1024,256,1e-05,1000,229.011812
1024,1024,256,1e-05,1000,231.212095
1024,1024,256,1e-05,1000,230.223856
128,128,256,0.0001,1000,4.096258
128,128,256,0.0001,1000,4.108984
128,128,256,0.0001,1000,4.164438
256,256,256,0.0001,1000,26.219472
256,256,256,0.0001,1000,25.687114
256,256,256,0.0001,1000,25.745571
512,512,256,0.0001,1000,95.174598
512,512,256,0.0001,1000,94.7998
512,512,256,0.0001,1000,95.094677
1024,1024,256,0.0001,1000,466.666419
1024,1024,256,0.0001,1000,465.570478
1024,1024,256,0.0001,1000,465.876481
128,128,512,1e-06,1000,2.549775
128,128,512,1e-06,1000,2.564918
128,128,512,1e-06,1000,2.554069
256,256,512,1e-06,1000,11.679884
256,256,512,1e-06,1000,11.51469
256,256,512,1e-06,1000,11.469602
512,512,512,1e-06,1000,54.072479
512,512,512,1e-06,1000,53.98667
512,512,512,1e-06,1000,54.060546
1024,1024,512,1e-06,1000,212.138474
1024,1024,512,1e-06,1000,212.154382
1024,1024,512,1e-06,1000,210.305902
128,128,512,1e-05,1000,3.040335
128,128,512,1e-05,1000,3.1045
128,128,512,1e-05,1000,3.088545
256,256,512,1e-05,1000,16.530396
256,256,512,1e-05,1000,16.358637
256,256,512,1e-05,1000,16.464398
512,512,512,1e-05,1000,79.125671
512,512,512,1e-05,1000,78.571336
512,512,512,1e-05,1000,78.940044
1024,1024,512,1e-05,1000,287.080298
1024,1024,512,1e-05,1000,286.282188
1024,1024,512,1e-05,1000,286.447243
128,128,512,0.0001,1000,7.774474
128,128,512,0.0001,1000,7.803646
128,128,512,0.0001,1000,7.814807
256,256,512,0.0001,1000,62.593788
256,256,512,0.0001,1000,62.851875
256,256,512,0.0001,1000,62.406475
512,512,512,0.0001,1000,272.232372
512,512,512,0.0001,1000,272.396305
512,512,512,0.0001,1000,272.257511
1024,1024,512,0.0001,1000,764.560383
1024,1024,512,0.0001,1000,761.977754
1024,1024,512,0.0001,1000,768.487376
128,128,1024,1e-06,1000,3.321962
128,128,1024,1e-06,1000,3.37108
128,128,1024,1e-06,1000,3.350509
256,256,1024,1e-06,1000,16.111115
256,256,1024,1e-06,1000,16.131307
256,256,1024,1e-06,1000,15.951296
512,512,1024,1e-06,1000,72.465802
512,512,1024,1e-06,1000,73.132258
512,512,1024,1e-06,1000,72.739271
1024,1024,1024,1e-06,1000,280.507116
1024,1024,1024,1e-06,1000,283.784228
1024,1024,1024,1e-06,1000,282.462568
128,128,1024,1e-05,1000,6.160678
128,128,1024,1e-05,1000,6.245145
128,128,1024,1e-05,1000,6.195685
256,256,1024,1e-05,1000,38.496682
256,256,1024,1e-05,1000,38.282215
256,256,1024,1e-05,1000,37.794678
512,512,1024,1e-05,1000,171.219015
512,512,1024,1e-05,1000,171.141878
512,512,1024,1e-05,1000,171.157442
1024,1024,1024,1e-05,1000,623.588464
1024,1024,1024,1e-05,1000,623.212819
1024,1024,1024,1e-05,1000,624.388146
128,128,1024,0.0001,1000,33.093004
128,128,1024,0.0001,1000,32.988159
128,128,1024,0.0001,1000,33.229131
256,256,1024,0.0001,1000,241.341022
256,256,1024,0.0001,1000,240.205076
256,256,1024,0.0001,1000,241.972514
512,512,1024,0.0001,1000,963.334357
512,512,1024,0.0001,1000,963.65792
512,512,1024,0.0001,1000,964.039757
1024,1024,1024,0.0001,1000,2995.080901
1024,1024,1024,0.0001,1000,2997.199485
1024,1024,1024,0.0001,1000,2995.204797
